City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,remedios,22.4947,-79.5458,22.51,82,69,3.45,CU,1682679952
1,raghunathpur,23.55,86.6667,36.19,22,91,5.1,IN,1682679952
2,puerto baquerizo moreno,-0.9,-89.6,25.88,82,68,4.13,EC,1682679954
3,port-aux-francais,-49.35,70.2167,6.17,70,20,10.15,TF,1682679954
4,qaqortoq,60.7167,-46.0333,0.61,61,6,3.87,GL,1682679955
5,noshiro,40.2039,140.0242,14.46,69,84,1.77,JP,1682679955
6,thompson,55.7435,-97.8558,-4.91,86,20,1.54,CA,1682679728
7,buka,40.8108,69.1986,31.01,12,0,2.19,UZ,1682679956
8,port mathurin,-19.6833,63.4167,26.24,78,20,5.56,MU,1682679957
9,georgetown,5.4112,100.3354,30.97,74,20,3.6,MY,1682679777
10,port shepstone,-30.7414,30.455,23.99,69,24,4.57,ZA,1682679958
11,tiksi,71.6872,128.8694,-5.6,92,100,0.59,RU,1682679959
12,howard springs,-12.497,131.047,27.95,86,34,1.22,AU,1682679959
13,mombetsu,44.3525,143.3525,5.06,69,95,2.72,JP,1682679960
14,waitangi,-43.9535,-176.5597,12.12,90,54,6.56,NZ,1682679960
15,port alfred,-33.5906,26.891,23.43,77,69,0.89,ZA,1682679961
16,bodo,67.28,14.405,5.02,84,75,7.2,NO,1682679930
17,edinburgh of the seven seas,-37.0676,-12.3116,17.29,79,98,5.43,SH,1682679962
18,badger,64.8,-147.5333,-0.27,75,75,2.06,US,1682679963
19,saldanha,-33.0117,17.9442,19.03,58,19,4.79,ZA,1682679963
20,tolanaro,-25.0319,46.9987,27.04,69,40,7.2,MG,1682679964
21,bethel,41.3712,-73.414,7.93,88,100,3.6,US,1682679965
22,albany,42.6001,-73.9662,6.41,93,82,0.81,US,1682679445
23,mount gambier,-37.8333,140.7667,10.01,83,97,2.17,AU,1682679966
24,harstad,68.799,16.5293,4.53,99,100,1.34,NO,1682679966
25,invercargill,-46.4,168.35,8.01,95,22,1.62,NZ,1682679967
26,kavieng,-2.5744,150.7967,28.12,76,31,1.4,PG,1682679967
27,ilulissat,69.2167,-51.1,-1.99,69,20,2.06,GL,1682679968
28,lompoc,34.6391,-120.4579,10.29,95,16,1.33,US,1682679969
29,st. john's,47.5649,-52.7093,2.1,95,100,8.23,CA,1682679969
30,puerto natales,-51.7236,-72.4875,3.53,98,100,1.15,CL,1682679970
31,grytviken,-54.2811,-36.5092,0.7,69,85,0.68,GS,1682679970
32,taraz,42.9,71.3667,26.23,27,100,3.0,KZ,1682679971
33,dudinka,69.4058,86.1778,-6.32,93,30,3.92,RU,1682679972
34,olonkinbyen,70.9221,-8.7187,-3.81,92,100,12.96,SJ,1682679972
35,port lincoln,-34.7333,135.8667,14.16,55,88,4.99,AU,1682679973
36,blackmans bay,-43.0167,147.3167,10.07,67,80,3.1,AU,1682679973
37,bredasdorp,-34.5322,20.0403,20.64,44,6,6.16,ZA,1682679974
38,bilibino,68.0546,166.4372,-15.9,88,19,2.84,RU,1682679975
39,constantia,44.1833,28.65,14.38,47,100,9.21,RO,1682679975
40,praskoveya,44.7444,44.2031,24.7,44,15,2.9,RU,1682679976
41,hermanus,-34.4187,19.2345,21.0,59,7,8.79,ZA,1682679976
42,jayapura,-2.5333,140.7,27.66,86,95,1.44,ID,1682679977
43,polyarnyye zori,67.3661,32.4981,0.85,91,58,4.86,RU,1682679978
44,grand gaube,-20.0064,57.6608,28.22,65,16,3.58,MU,1682679978
45,vila franca do campo,37.7167,-25.4333,18.23,82,26,6.54,PT,1682679979
46,tura,25.5198,90.2201,31.62,32,100,1.43,IN,1682679979
47,sittwe,20.15,92.9,29.98,65,2,7.04,MM,1682679980
48,west island,-12.1568,96.8225,27.99,89,75,3.6,CC,1682679981
49,sovetskaya gavan',48.9723,140.2878,0.76,82,93,1.94,RU,1682679981
50,marsassoum,12.8275,-15.9806,29.05,16,24,3.53,SN,1682679982
51,portland,45.5234,-122.6762,14.42,71,0,3.6,US,1682679947
52,ust-nera,64.5667,143.2,-7.59,97,34,0.78,RU,1682679984
53,shumikha,55.2261,63.2961,16.4,56,88,6.69,RU,1682679985
54,atafu village,-8.5421,-172.5159,29.18,73,77,9.29,TK,1682679985
55,talnakh,69.4865,88.3972,-6.55,88,52,1.39,RU,1682679986
56,dryden,49.7833,-92.7503,-2.84,100,40,2.06,CA,1682679987
57,gamba,-2.65,10.0,29.37,67,96,3.43,GA,1682679987
58,anaconda,46.1285,-112.9423,-2.45,73,69,2.25,US,1682679988
59,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,55,75,4.0,RU,1682679989
60,ndele,8.4109,20.6473,30.14,45,93,2.06,CF,1682679989
61,labytnangi,66.6572,66.4183,-2.59,76,95,2.52,RU,1682679821
62,concepcion del oro,24.6333,-101.4167,12.13,78,10,2.26,MX,1682679991
63,shingu,33.7333,135.9833,13.8,87,88,1.62,JP,1682679991
64,yellowknife,62.456,-114.3525,-1.71,100,20,1.54,CA,1682679992
65,papatowai,-46.5619,169.4708,10.35,94,32,1.83,NZ,1682679993
66,ambon,-3.6954,128.1814,28.86,88,40,2.06,ID,1682679993
67,haapsalu,58.9431,23.5414,8.32,69,31,4.57,EE,1682679994
68,margaret river,-33.95,115.0667,14.73,65,75,3.62,AU,1682679994
69,terralba,39.7192,8.6392,24.39,47,57,2.9,IT,1682679995
70,lahaina,20.8783,-156.6825,22.11,98,16,1.8,US,1682679995
71,flying fish cove,-10.4217,105.6791,27.2,81,98,10.44,CX,1682679996
72,viedma,-40.8135,-62.9967,15.52,49,49,5.0,AR,1682679996
73,rawson,-43.3002,-65.1023,17.56,48,100,8.35,AR,1682679997
74,tabou,4.423,-7.3528,28.77,74,88,2.36,CI,1682679998
75,umuahia,5.5263,7.4896,28.2,64,100,2.48,NG,1682679998
76,vadso,70.0744,29.7487,4.49,75,0,9.26,NO,1682679999
77,fisterra,42.9049,-9.2629,16.53,91,100,5.25,ES,1682679999
78,mili,6.0815,171.735,28.06,80,96,7.61,MH,1682680000
79,calingasta,-31.3308,-69.4078,15.42,15,0,1.18,AR,1682680001
80,adamstown,-25.066,-130.1015,23.61,69,53,3.51,PN,1682680001
81,tselinnoye,53.0833,85.6667,19.77,50,100,6.73,RU,1682680002
82,keflavik,64.0049,-22.5624,2.24,87,75,4.12,IS,1682680002
83,jianshui,23.6363,102.8264,25.47,43,60,2.13,CN,1682680003
